id_cliente,nome_cliente,API,ID API,Versão,METODO_RECURSO,Requisições,Perfomance (ms),Disponibilidade
1606,BRISA_NITIDO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,26216,"125,48","99,86%"
1607,PICO_DOURADO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,36910,"171,71","99,98%"
1607,PICO_DOURADO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Devoluções,1,"143,00","100,00%"
1607,PICO_DOURADO,Pix,8175497,v1,GET / PIX - Gerenciamento de Devoluções,10,"34,67","100,00%"
1607,PICO_DOURADO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,972,"368,09","99,18%"
1607,PICO_DOURADO,Pix,8175497,v1,PUT / Pix - QR Code,1623,"209,79","99,08%"
1608,COSMOS_QUENTE,Pix,8175497,v1,GET / Pix - Consultar Pix,1,"40,00","100,00%"
1608,COSMOS_QUENTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,12,"38,80","100,00%"
1608,COSMOS_QUENTE,Pix,8175497,v1,PUT / Pix - QR Code,5772,"574,21","99,01%"
1608,COSMOS_QUENTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,501787,"345,01","99,93%"
1609,POINT_VERDE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17445,"139,13","99,74%"
1609,POINT_VERDE,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,758,"70,86","99,60%"
1609,POINT_VERDE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,6,"29,00","100,00%"
1609,POINT_VERDE,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,754,"16,62","100,00%"
1610,CICLO_UMIDO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,29,"106,45","96,55%"
1610,CICLO_UMIDO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,621,"101,02","99,52%"
1610,CICLO_UMIDO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,317,"72,16","100,00%"
1611,SOMBRA_LOCAL,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,26,"69,16","96,15%"
1611,SOMBRA_LOCAL,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,22,"37,71","100,00%"
1612,VALE_PASSIVO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,7,"74,43","100,00%"
1612,VALE_PASSIVO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,2485,"155,74","1,33%"
1612,VALE_PASSIVO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,7,"48,71","100,00%"
1612,VALE_PASSIVO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,2281,"138,81","99,78%"
1613,GRID_FRIO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,221,"160,22","98,64%"
1613,GRID_FRIO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,263,"121,11","99,62%"
1613,GRID_FRIO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,17,"95,69","94,12%"
1614,STREAM_PRATA,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,10743,"140,19","99,93%"
1614,STREAM_PRATA,Pix,8175497,v1,PUT / Pix - QR Code,1785,"244,72","99,72%"
1615,LESTE_ANTIGO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,96,"54,21","98,96%"
1615,LESTE_ANTIGO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17322,"186,60","99,72%"
1615,LESTE_ANTIGO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,86,"67,88","100,00%"
1616,GRADE_CLARO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,1175,"71,45","100,00%"
1616,GRADE_CLARO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,19218,"160,27","99,81%"
1616,GRADE_CLARO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,1179,"48,84","99,83%"
1616,GRADE_CLARO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,1002,"36,33","100,00%"
1617,CAMINHO_COMPLEXO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17275,"209,95","99,67%"
1618,CAMADA_CALMO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,660,"44,84","100,00%"
1619,ORIGEM_ABERTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,41844,"433,50","99,92%"
1619,ORIGEM_ABERTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Devoluções,1,"32,00","100,00%"
1619,ORIGEM_ABERTO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Devoluções,1,"173,00","100,00%"
1619,ORIGEM_ABERTO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,6073,"412,41","99,62%"
1619,ORIGEM_ABERTO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,357,"337,54","95,80%"
1620,GELO_DIGITAL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,181,"86,14","99,45%"
1621,VECTOR_ANALOGICO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,6,"38,33","100,00%"
1622,SUL_CENTRAL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,91,"39,24","100,00%"
1623,SOMBRA_CONTINUO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,184,"42,23","100,00%"
1624,LESTE_LUNAR,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,2472,"207,52","99,51%"
1624,LESTE_LUNAR,Pix,8175497,v1,PUT / PIX - Gerenciamento de Devoluções,6,"93,50","100,00%"
1624,LESTE_LUNAR,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,21155,"307,09","99,95%"
1624,LESTE_LUNAR,Pix,8175497,v1,GET / Pix - Consultar Pix,4,"47,00","100,00%"
1624,LESTE_LUNAR,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,132,"222,07","95,45%"
1625,ESFERA_REMOTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1526939,"1794,01","99,70%"
1626,SUL_MULTIPLO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,52331,"216,15","99,81%"
1626,SUL_MULTIPLO,Pix,8175497,v1,PUT / Pix - QR Code,8270,"465,27","99,58%"
1626,SUL_MULTIPLO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,575,"207,12","85,39%"
1627,EIXO_AMPL0,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1481187,"1889,71","99,80%"
1628,DELTA2_NEUTRO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,88,"75,35","100,00%"
1628,DELTA2_NEUTRO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17254,"109,49","99,76%"
1628,DELTA2_NEUTRO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,7,"32,50","100,00%"
1628,DELTA2_NEUTRO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,84,"129,38","100,00%"
1629,LESTE_PRECISO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17422,"147,93","99,77%"
1629,LESTE_PRECISO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,1809,"20,58","99,83%"
1629,LESTE_PRECISO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,1797,"144,62","99,78%"
1630,VALE_ALFA,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,1197141,"601,97","100,00%"
1630,VALE_ALFA,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,242,"101,06","100,00%"
1630,VALE_ALFA,Pix,8175497,v1,PUT / Pix - QR Code,2587,"205,05","99,61%"
1631,EDGE_FORTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1527066,"1962,64","99,70%"
1632,LINHA_UMIDO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,91,"71,35","100,00%"
1633,EIXO_AZUL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,52884,"122,29","99,76%"
