id_cliente,nome_cliente,METODO_RECURSO,Total Requisições,4xx,2xx,5xx,Score
21,ILHA_AGIL,PUT / PIX - Gerenciamento de Cobranças,3126,0,3096,30,
21,ILHA_AGIL,GET / PIX - Gerenciamento de Cobranças,27263,1,27223,39,
22,ARCO_RARE,PATCH / PIX - Gerenciamento de Cobranças,2,0,2,0,
22,ARCO_RARE,GET / PIX - Gerenciamento de Cobranças,19,0,19,0,
22,ARCO_RARE,PUT / Pix - QR Code,9,0,9,0,
23,NORTE_SERENO,GET / PIX - Gerenciamento de Pix recebidos /pix,456,255,201,0,
24,FAIXA_SUPERIOR,PATCH / PIX - Gerenciamento de Cobranças,1,0,1,0,
24,FAIXA_SUPERIOR,GET / PIX - Gerenciamento de Cobranças,24,0,24,0,
24,FAIXA_SUPERIOR,PUT / Pix - QR Code,14,0,14,0,
25,SOMBRA_VERDE,GET / PIX - Gerenciamento de Pix recebidos /pix,10294,6078,4194,22,
26,BASE_LARGO,GET / PIX - Gerenciamento de Cobranças,5199686,3014,5182598,14074,0.1320462900770144
26,BASE_LARGO,PUT / Pix - QR Code,1,0,1,0,
27,PICO_FLUIDO,GET / PIX - Gerenciamento de Cobranças,26440890,653,26436212,4025,0.3791797571440178
27,PICO_FLUIDO,PUT / Pix - QR Code,3842,17,3824,1,
28,TRAMA_VASTO,GET / PIX - Gerenciamento de Cobranças,921,0,921,0,
28,TRAMA_VASTO,PUT / PIX - Gerenciamento de Cobranças,70,0,70,0,
29,LINK_DOURADO,PUT / Pix - QR Code,9260,0,9242,18,
29,LINK_DOURADO,GET / PIX - Gerenciamento de Cobranças,3276518,2349,3265513,8656,0.1183733476588239
30,GRID_UMIDO,GET / PIX - Gerenciamento de Cobranças,703,0,703,0,
30,GRID_UMIDO,PUT / Pix - QR Code,680,57,601,22,
31,VENTO_MULTIPLO,PUT / PIX - Gerenciamento de Cobranças,872,0,868,4,
31,VENTO_MULTIPLO,PATCH / PIX - Gerenciamento de Cobranças,55,0,47,8,
31,VENTO_MULTIPLO,GET / PIX - Gerenciamento de Cobranças,5272,1,5263,8,
31,VENTO_MULTIPLO,GET / PIX - Gerenciamento de Pix recebidos /pix,18,0,16,2,
32,DELTA_FINO,PUT / PIX - Gerenciamento de Cobranças,40790,11,40301,478,
