id_cliente,nome_cliente,% 4xx,Último Acionamento,Score,Penúltimo Mês,Mês Anterior,Mês Corrente
665,ARCO_GLOBAL,"99,70%",2026-04-08 00:00:00,0.0,17027.0,17239,17266
667,AREIA_DENSO,"99,70%",2026-04-08 00:00:00,0.0,6740.0,6804,6843
670,EIXO_RAPIDO,"0,20%",2026-04-08 00:00:00,0.0,1998.0,1679,1874
679,FAIXA_SECO,"0,46%",2026-03-31 00:00:00,100.0,915.0,1056,0
686,MATRIX_INTENSO,"99,71%",2026-04-08 00:00:00,0.0,16812.0,17059,17191
688,NORTE_ALFA,"99,71%",2026-04-08 00:00:00,0.0,16736.0,16974,17156
692,HORIZONTE_EXATO,"0,21%",2026-04-08 00:00:00,76.1183603073539,184126.0,63647,24410
695,AURORA_DISCRETO,"64,62%",2026-04-08 00:00:00,0.0,9204.0,9666,9769
696,CAMINHO_SIMPLES,"99,71%",2026-04-08 00:00:00,0.0,16663.0,16902,17113
706,ORBITA_SUPERIOR,"0,00%",2026-03-30 00:00:00,100.0,189.0,3480,0
709,PORTAL_CURVO,"12,92%",2026-03-31 00:00:00,100.0,17213.0,18773,0
710,SEMENTE_IMPAR,"99,70%",2026-04-08 00:00:00,0.0,16754.0,16973,17161
722,FLUXO_ABSTRATO,"99,71%",2026-04-08 00:00:00,0.0,16593.0,16831,17050
740,RAIZ_RARE,"0,00%",2026-04-08 00:00:00,14.270499901787058,1945.0,1671,1438
744,FRAME_PURO,"99,71%",2026-04-08 00:00:00,0.0,1420.0,1434,1427
747,FIELD_DIGITAL,"0,01%",2026-03-31 00:00:00,100.0,1156.0,1147,0
752,LESTE_BRILHANTE,"0,07%",2026-04-08 00:00:00,0.0,31570.0,35076,32061
757,LINK_INTENSO,"0,01%",2026-03-10 00:00:00,100.0,10081.0,3824,0
760,DELTA2_ROBUSTO,"0,06%",2026-04-08 00:00:00,0.0,28461.0,22349,22913
762,LUZ_PURO,"0,04%",2026-03-31 00:00:00,100.0,203581.0,203619,0
767,ORIGEM_COMPLEXO,"0,02%",2026-04-06 00:00:00,49.29088335333381,1860.0,1779,178
769,VENTO_SECO,"0,04%",2026-04-08 00:00:00,0.0,20281.0,29978,33256
770,MAR_EXTERNO,"0,02%",2026-04-08 00:00:00,0.0,2684.0,2005,2639
777,CHAMA_INTERNO,"0,19%",2026-04-08 00:00:00,34.59901360816362,2026.0,1661,754
778,PONTE_LOCAL,"0,01%",2026-03-31 00:00:00,100.0,4512.0,3270,0
784,MAR_MORTO,"0,04%",2026-04-08 00:00:00,0.0,4021.0,5639,3197
786,ANEL_PRATA,"0,00%",2026-04-08 00:00:00,0.0,743.0,7979,18269
787,NODEX_MOVEL,"0,00%",2026-04-08 00:00:00,0.0,1368.0,1511,1466
793,CORE_DISCRETO,"0,00%",2026-03-31 00:00:00,100.0,298.0,3391,0
796,FAIXA_COMPLEXO,"3,33%",2026-03-30 00:00:00,100.0,890.0,1332,0
800,WAVE_PUJANTE,"0,01%",2026-04-08 00:00:00,0.0,1142.0,1186,1156
801,ESFERA_QUENTE,"11,52%",2026-04-08 00:00:00,55.43716110868512,7839.0,1144,1144
806,EDGE_ABERTO,"0,07%",2026-04-06 00:00:00,0.0,6438.0,9616,5
808,BLOCO_IMPAR,"39,78%",2026-03-30 00:00:00,100.0,2818.0,2446,0
